0	0	1250	0	0	-375		1250	-375
1250	0	2500	0	1250	-375		2500	-375
2500	0	3750	0	2500	-375		3750	-375
3750	0	5000	0	3750	-375		5000	-375
0	-375	1250	-375	0	-750		1250	-750
1250	-375	2500	-375	1250	-750		2500	-750
2500	-375	3750	-375	2500	-750		3750	-750
3750	-375	5000	-375	3750	-750		5000	-750
0	-750	1250	-750	0	-1125		1250	-1125
1250	-750	2500	-750	1250	-1125		2500	-1125
2500	-750	3750	-750	2500	-1125		3750	-1125
3750	-750	5000	-750	3750	-1125		5000	-1125
0	-1125	1250	-1125	0	-1500		1250	-1500
1250	-1125	2500	-1125	1250	-1500		2500	-1500
2500	-1125	3750	-1125	2500	-1500		3750	-1500
3750	-1125	5000	-1125	3750	-1500		5000	-1500
